City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Cayenne,GF,2022-01-23 21:00:19,4.9333,-52.3333,78.84,87,75,1.01
99,Tianpeng,CN,2022-01-23 21:00:20,30.9866,103.9393,42.94,86,98,3.96
100,San Jose,US,2022-01-23 20:59:24,37.3394,-121.895,67.86,45,0,1.99
101,Talnakh,RU,2022-01-23 21:00:21,69.4865,88.3972,-3.62,100,100,5.08
102,Upernavik,GL,2022-01-23 21:00:21,72.7868,-56.1549,-13.83,64,1,5.66
103,Ponta Do Sol,PT,2022-01-23 21:00:22,32.6667,-17.1,65.71,79,100,5.64
104,Kendari,ID,2022-01-23 21:00:23,-3.945,122.4989,74.86,94,89,3.78
105,Isangel,VU,2022-01-23 21:00:24,-19.55,169.2667,83.88,73,5,2.77
106,Tshikapa,CD,2022-01-23 21:00:24,-6.4167,20.8,70.54,91,68,0.96
107,Saint-Philippe,RE,2022-01-23 21:00:25,-21.3585,55.7679,80.19,82,34,8.72
108,Bardiyah,LY,2022-01-23 21:00:25,31.7561,25.0865,50.49,54,58,13.47
109,Los Llanos De Aridane,ES,2022-01-23 20:58:13,28.6585,-17.9182,64.15,96,75,3.0
110,Tabuk,PH,2022-01-23 21:00:26,17.4189,121.4443,71.49,95,85,2.1
111,Dikson,RU,2022-01-23 21:00:26,73.5069,80.5464,-10.61,100,100,15.9
112,Tuktoyaktuk,CA,2022-01-23 21:00:27,69.4541,-133.0374,6.13,95,100,6.91
113,Karasjok,NO,2022-01-23 21:00:27,69.4719,25.5112,39.31,77,100,34.63
114,Atar,MR,2022-01-23 21:00:28,20.5169,-13.0499,76.21,17,98,8.14
115,Katsuura,JP,2022-01-23 21:00:28,35.1333,140.3,45.1,83,100,13.27
116,Tiksi,RU,2022-01-23 21:00:29,71.6872,128.8694,-6.92,99,100,3.91
117,Gigmoto,PH,2022-01-23 21:00:29,13.7796,124.39,78.01,88,71,8.81
118,Koroni,GR,2022-01-23 21:00:30,36.8,21.95,39.07,49,11,7.43
119,Cajaruro,PE,2022-01-23 21:00:30,-5.7364,-78.4256,90.57,47,76,3.04
120,Georgetown,MY,2022-01-23 21:00:31,5.4112,100.3354,78.73,89,20,0.0
121,Torbay,CA,2022-01-23 21:00:24,47.6666,-52.7314,28.58,93,96,4.0
122,Sabang,ID,2022-01-23 21:00:31,5.8933,95.3214,79.86,74,86,5.57
123,Agadez,NE,2022-01-23 21:00:32,19.75,10.25,59.02,23,71,9.06
124,Flinders,AU,2022-01-23 20:55:54,-34.5833,150.8552,68.2,90,98,4.0
125,Charlestown,AU,2022-01-23 21:00:33,-32.95,151.6667,70.74,95,83,1.01
126,Ostrovnoy,RU,2022-01-23 21:00:33,68.0531,39.5131,28.76,94,100,32.99
127,Lere,NG,2022-01-23 21:00:33,10.387,8.5726,69.53,18,0,8.08
